trip_id,optimized_route,optimized_duration_min
1,Ratnadeep Supermarket → Cafe Niloufer → Apollo Health City → Apollo Pharmacy → Pista House → IKEA Hyderabad,281.05
2,Decathlon Madhapur → Joyalukkas → South India Shopping Mall,77.51
3,Karachi Bakery → Naturals Salon → Bata Shoe Store → Roastery Coffee House → Joyalukkas,206.78
4,Karachi Bakery → Inorbit Mall Shoppers Stop → Lalitha Jewellery → Bajaj Electronics → Kalanikethan Kukatpally → Roastery Coffee House → Lakme Salon,211.56
5,Reliance Smart Jubilee → Joyalukkas → Bajaj Electronics → IKEA Hyderabad,129.54
6,Decathlon Madhapur → Joyalukkas → South India Shopping Mall,77.51
7,Decathlon Madhapur → Joyalukkas → South India Shopping Mall,77.51
8,Karachi Bakery → Inorbit Mall Shoppers Stop → Lalitha Jewellery → Bajaj Electronics → Kalanikethan Kukatpally → Roastery Coffee House → Lakme Salon,211.56
9,Decathlon Madhapur → Joyalukkas → South India Shopping Mall,77.51
10,Decathlon Madhapur → Joyalukkas → South India Shopping Mall,77.51
11,Reliance Smart Jubilee → Joyalukkas → Bajaj Electronics → IKEA Hyderabad,129.54
12,Reliance Smart Jubilee → Joyalukkas → Bajaj Electronics → IKEA Hyderabad,129.54
13,Karachi Bakery → Naturals Salon → Bata Shoe Store → Roastery Coffee House,145.43
14,Karachi Bakery → Naturals Salon → Bata Shoe Store → Roastery Coffee House,145.43
15,Ratnadeep Supermarket → Cafe Niloufer → Apollo Health City → Pista House → IKEA Hyderabad,241.7
16,Karachi Bakery → Naturals Salon → Bata Shoe Store → Roastery Coffee House,145.43
17,Karachi Bakery → Inorbit Mall Shoppers Stop → Lalitha Jewellery → Bajaj Electronics → Kalanikethan Kukatpally → Lakme Salon,171.93
18,Reliance Smart Jubilee → Joyalukkas → Bajaj Electronics,68.49
19,Karachi Bakery → Naturals Salon → Bata Shoe Store → Roastery Coffee House,145.43
20,Ratnadeep Supermarket → Cafe Niloufer → Apollo Health City → Pista House → IKEA Hyderabad,241.7
21,Vijetha Supermarket → IKEA Hyderabad → Himalaya Book World → MedPlus Madhapur → Apollo Health City → Forum Sujana Zara → Bawarchi RTC X Roads,252.06
22,Vijetha Supermarket → IKEA Hyderabad → Himalaya Book World → MedPlus Madhapur → Apollo Health City → Forum Sujana Zara → Bawarchi RTC X Roads,252.06
23,Karachi Bakery → Naturals Salon → Bata Shoe Store → Roastery Coffee House,145.43
24,Karachi Bakery → Inorbit Mall Shoppers Stop → Lalitha Jewellery → Bajaj Electronics → Kalanikethan Kukatpally → Lakme Salon,171.93
25,Karachi Bakery → Naturals Salon → Roastery Coffee House,132.25
26,Karachi Bakery → Naturals Salon → Roastery Coffee House,132.25
27,Roastery Coffee House → Hyderabad Central → Nature's Basket → Q-Mart Gachibowli → Alankrita Boutique → Heritage Fresh → Naturals Salon,276.55
28,Karachi Bakery → Inorbit Mall Shoppers Stop → Lalitha Jewellery → Bajaj Electronics → Kalanikethan Kukatpally,130.78
29,Vijetha Supermarket → Himalaya Book World → MedPlus Madhapur → Apollo Health City → Forum Sujana Zara → Bawarchi RTC X Roads,211.76
30,Karachi Bakery → Naturals Salon → Roastery Coffee House,132.25
31,Ratnadeep Supermarket → Cafe Niloufer → Apollo Health City → IKEA Hyderabad,206.45
32,Karachi Bakery → Naturals Salon → Roastery Coffee House,132.25
33,Vijetha Supermarket → Himalaya Book World → MedPlus Madhapur → Apollo Health City → Forum Sujana Zara → Bawarchi RTC X Roads,211.76
34,Ratnadeep Supermarket → Cafe Niloufer → Apollo Health City → IKEA Hyderabad,206.45
35,Vijetha Supermarket → Himalaya Book World → MedPlus Madhapur → Apollo Health City → Forum Sujana Zara → Bawarchi RTC X Roads,211.76
36,Roastery Coffee House → Hyderabad Central → Nature's Basket → Q-Mart Gachibowli → Alankrita Boutique → Heritage Fresh → Naturals Salon,276.55
37,Karachi Bakery → Lalitha Jewellery → Bajaj Electronics → Kalanikethan Kukatpally,130.78
38,Vijetha Supermarket → Himalaya Book World → Forum Sujana Zara → Apollo Health City → Bawarchi RTC X Roads,199.71
39,Karachi Bakery → Paradise Biryani Secunderabad → Himalaya Book World → Croma Jubilee Hills → Apollo Pharmacy → D-Mart Begumpet → Kalanikethan Kukatpally,216.0
40,Karachi Bakery → Lalitha Jewellery → Bajaj Electronics → Kalanikethan Kukatpally,130.78
41,Karachi Bakery → Lalitha Jewellery → Bajaj Electronics → Kalanikethan Kukatpally,130.78
42,Karachi Bakery → Paradise Biryani Secunderabad → Himalaya Book World → Croma Jubilee Hills → Apollo Pharmacy → D-Mart Begumpet → Kalanikethan Kukatpally,216.0
43,Ratnadeep Supermarket → IKEA Hyderabad → Apollo Health City,151.7
44,Vijetha Supermarket → Himalaya Book World → Forum Sujana Zara → Apollo Health City → Bawarchi RTC X Roads,199.71
45,Ratnadeep Supermarket → IKEA Hyderabad → Apollo Health City,151.7
46,Vijetha Supermarket → Himalaya Book World → Forum Sujana Zara → Apollo Health City → Bawarchi RTC X Roads,199.71
47,Karachi Bakery → Lalitha Jewellery → Bajaj Electronics → Kalanikethan Kukatpally,130.78
48,Karachi Bakery → Paradise Biryani Secunderabad → Himalaya Book World → Croma Jubilee Hills → Apollo Pharmacy → D-Mart Begumpet → Kalanikethan Kukatpally,216.0
49,Vijetha Supermarket → Himalaya Book World → Apollo Health City → Bawarchi RTC X Roads,171.71
50,Karachi Bakery → Lalitha Jewellery → Bajaj Electronics,86.15
51,Karachi Bakery → Paradise Biryani Secunderabad → Croma Jubilee Hills → Apollo Pharmacy → D-Mart Begumpet → Kalanikethan Kukatpally,190.89
52,Apollo Pharmacy → Croma Jubilee Hills → Naturals Salon → Metro Cash & Carry → Chennai Shopping Mall → Page 3 Luxury Salon → Kimmee's Salon,10113.0
53,Roastery Coffee House → Hyderabad Central → Nature's Basket → Q-Mart Gachibowli → Alankrita Boutique,177.1
54,Karachi Bakery → Lalitha Jewellery → Bajaj Electronics,86.15
55,Karachi Bakery → Paradise Biryani Secunderabad → Croma Jubilee Hills → Apollo Pharmacy → D-Mart Begumpet → Kalanikethan Kukatpally,190.89
56,Karachi Bakery → Paradise Biryani Secunderabad → Croma Jubilee Hills → Apollo Pharmacy → D-Mart Begumpet → Kalanikethan Kukatpally,190.89
57,Karachi Bakery → Lalitha Jewellery → Bajaj Electronics,86.15
58,Apollo Pharmacy → Croma Jubilee Hills → Naturals Salon → Metro Cash & Carry → Chennai Shopping Mall → Page 3 Luxury Salon → Kimmee's Salon,10113.0
59,Karachi Bakery → Paradise Biryani Secunderabad → Croma Jubilee Hills → Apollo Pharmacy → D-Mart Begumpet → Kalanikethan Kukatpally,190.89
60,Apollo Pharmacy → Croma Jubilee Hills → Naturals Salon → Metro Cash & Carry → Chennai Shopping Mall → Page 3 Luxury Salon → Kimmee's Salon,10113.0
61,GRT Jewellers → Chutneys Restaurant → Crossword Bookstore → Nature's Basket → Spencer's Retail → Malabar Gold & Diamonds → IKEA Hyderabad,246.97
62,Apollo Pharmacy → Croma Jubilee Hills → Naturals Salon → Chennai Shopping Mall → Page 3 Luxury Salon → Kimmee's Salon,10093.29
63,GRT Jewellers → Chutneys Restaurant → Crossword Bookstore → Nature's Basket → Spencer's Retail → Malabar Gold & Diamonds → IKEA Hyderabad,246.97
64,Vijetha Supermarket → Himalaya Book World → Apollo Health City,117.44
65,Vijetha Supermarket → Himalaya Book World → Apollo Health City,117.44
66,Apollo Pharmacy → Croma Jubilee Hills → Naturals Salon → Chennai Shopping Mall → Page 3 Luxury Salon → Kimmee's Salon,10093.29
67,Roastery Coffee House → Hyderabad Central → Nature's Basket → Q-Mart Gachibowli,126.85
68,Apollo Pharmacy → Croma Jubilee Hills → Naturals Salon → Chennai Shopping Mall → Page 3 Luxury Salon → Kimmee's Salon,10093.29
69,Karachi Bakery → Paradise Biryani Secunderabad → Croma Jubilee Hills → Apollo Pharmacy → D-Mart Begumpet,137.42
70,Apollo Pharmacy → Croma Jubilee Hills → Naturals Salon → Chennai Shopping Mall → Page 3 Luxury Salon → Kimmee's Salon,10093.29
71,Roastery Coffee House → Hyderabad Central → Nature's Basket → Q-Mart Gachibowli,126.85
72,Karachi Bakery → Paradise Biryani Secunderabad → Croma Jubilee Hills → Apollo Pharmacy → D-Mart Begumpet,137.42
73,Concu Jubilee Hills → Joyalukkas → Ratnadeep Supermarket → Hyderabad Central → Reliance Smart Jubilee → Karachi Bakery → Page 3 Luxury Salon,10242.48
74,Karachi Bakery → Paradise Biryani Secunderabad → Apollo Pharmacy → D-Mart Begumpet,129.93
75,Karachi Bakery → Paradise Biryani Secunderabad → Apollo Pharmacy → D-Mart Begumpet,129.93
76,GRT Jewellers → Chutneys Restaurant → Crossword Bookstore → Nature's Basket → Spencer's Retail → Malabar Gold & Diamonds,222.94
77,GRT Jewellers → Chutneys Restaurant → Crossword Bookstore → Nature's Basket → Spencer's Retail → Malabar Gold & Diamonds,222.94
